X,thresh,start_time,end_time,id,centr,conflict,state,turn,dur,ang_vel,outcome,dist2pred,dist2fc,diff_flock_start,diff_flock_end,fl_turn,mainFlock_size,subFlock_size,dist_group,fl_size
5474,2,100.2,104.2,8,2.20214,1,2,-1.812799452,4,-0.453199863,turn,67.3577,1.0122,-8.499695966,27.7344463,34.42134281,9,9,>60,s
5475,2,343.8,345.2,8,1.32947,1,2,-2.772165487,1.4,-1.980118205,turn,55.9831,1.54761,-13.71518726,5.795798895,16.73882067,8,8,50-60,s
5476,2,358,361.8,8,1.63932,0,2,-21.59970751,3.8,-5.684133554,split,35.5381,1.13161,2.351008345,-20.59919153,-44.54990738,8,8,30-40,s
5477,2,376.6,377.2,8,1.03031,0,2,-4.278331637,0.6,-7.130552729,turn,58.9226,0.780395,-7.594728889,-8.482064035,-5.165666782,8,8,50-60,s
5478,2,65,66.2,9,1.03406,1,2,69.61261941,1.2,58.01051617,split,528.422,1.2764,-3.651275013,-29.04075293,44.22314149,10,10,>60,s
5479,2,111.2,112,9,1.51864,0,2,-166.0083667,0.8,-207.5104583,split,46.3588,1.57163,-0.752752897,167.455378,2.199764198,10,10,40-50,s
5480,2,33.8,35.2,0,19.4922,0,2,10.63124181,1.4,7.59374415,split,152.155,14.5675,4.291906241,NA,NA,9,9,>60,s
5481,2,56,58.8,0,16.363,0,2,-31.2402175,2.8,-11.15722054,split,77.329,12.1901,1.165719805,35.34441184,2.938474527,7,7,>60,s
5482,2,217,217.4,0,1.2848,1,2,0.369432916,0.4,0.92358229,turn,46.0594,2.07752,4.759898433,30.78502344,26.39455792,9,9,40-50,s
5483,2,310,314,0,9.08186,0,2,-6.316885532,4,-1.579221383,split,297.29,9.3143,1.258129409,-13.63895302,-21.21396796,5,5,>60,s
5484,2,400,400.8,0,1.6461,0,2,7.247804725,0.8,9.059755906,turn,169.213,3.16323,-3.004695774,-15.70596176,-5.453461265,10,10,>60,s
5485,2,71.6,73.4,1,4.22145,1,2,-8.756691603,1.8,-4.864828668,split,31.4547,5.66565,9.206790029,NA,NA,9,9,30-40,s
5486,2,265.8,266.4,1,2.429,1,2,-21.50471492,0.6,-35.84119153,split,53.7949,1.67798,-1.389299487,-3.474053253,-23.58946868,9,9,50-60,s
5487,2,340,342.4,1,6.25494,0,2,25.0643396,2.4,10.44347483,split,73.8546,5.64513,-2.758591807,-22.61201278,5.210918623,7,7,>60,s
5488,2,11.8,15.8,2,1.8705,0,2,6.754299587,4,1.688574897,split,26.2375,1.23764,5.951384826,45.86168178,46.66459654,10,10,20-30,s
5489,2,165.2,165.8,2,2.46445,0,2,4.057244068,0.6,6.762073447,turn,84.2274,2.51136,-11.55056636,-16.75575343,-1.147943002,10,10,>60,s
5490,2,476.6,480.6,2,13.9095,0,2,-5.231742515,4,-1.307935629,split,22.7603,12.8733,-3.734905632,-22.71760177,-24.21443865,10,10,20-30,s
5491,2,263.8,267.6,3,0.922392,1,2,-4.095423708,3.8,-1.077743081,turn,50.3294,0.868477,-1.125815524,-26.09190809,-29.06151627,9,9,50-60,s
5492,2,298.2,299.8,3,2.0979,0,2,35.43107292,1.6,22.14442057,split,17.5065,0.964043,-23.63748548,23.93041657,82.99897496,5,5,Oct/20,s
5493,2,369,373,3,2.32235,0,2,-65.13701876,4,-16.28425469,split,474.026,2.40342,-3.944356651,95.35063285,34.15797074,10,10,>60,s
5494,2,415.2,416.2,3,9.13286,1,2,-4.090779981,1,-4.090779981,turn,73.2502,6.22219,-3.433464439,NA,NA,5,5,>60,s
5495,2,221.8,222,4,1.91589,1,2,33.57692992,0.2,167.8846496,split,33.6761,2.22376,-0.36590544,20.82964673,54.7724821,8,8,30-40,s
5496,2,248.2,252.2,4,2.25304,1,2,-4.551956594,4,-1.137989148,turn,578.621,2.65364,0.984775087,-23.19228189,-28.72901357,9,9,>60,s
5497,2,409,409.4,4,3.24199,0,2,-42.08484145,0.4,-105.2121036,split,125.912,3.30746,-0.024282569,22.79639491,-19.26416397,10,10,>60,s
5498,2,143.2,144.8,5,1.25794,0,2,-24.47246188,1.6,-15.29528867,split,62.6007,2.25508,-1.130646607,23.20508589,-0.136729388,10,10,>60,s
5499,2,196.8,197,5,0.789261,1,2,56.84060069,0.2,284.2030035,split,21.0452,1.01627,-18.94475528,-107.9550254,-32.1696694,10,10,20-30,s
5500,2,368.2,369,5,1.38367,0,2,0.838565961,0.8,1.048207451,turn,480.967,0.826036,3.536558184,2.42112339,-0.276868833,10,10,>60,s
5501,2,420,421.6,5,8.13392,0,2,-21.72238463,1.6,-13.57649039,split,58.5192,5.19044,9.487800234,36.91817425,5.707989385,10,10,50-60,s
5502,2,453.4,456,6,1.42552,1,2,-32.89130762,2.6,-12.65050293,split,97.2393,1.67948,-8.189559813,23.30423936,-1.397508453,10,10,>60,s
5503,2,13.2,15.4,7,0.753205,1,2,-173.759824,2.2,-78.98173817,split,22.4113,2.55218,-7.652929864,-162.649091,31.24401494,10,10,20-30,s
5504,2,473,473.2,7,1.75361,0,2,8.063609782,0.2,40.31804891,turn,45.9634,1.60251,2.367680304,-17.39554895,-11.69961947,10,10,40-50,s
5505,2,477.2,479.2,7,8.05289,0,2,-24.52902458,2,-12.26451229,turn,23.5404,5.51269,6.67630926,13.04962064,-18.15571321,10,10,20-30,s
5506,2,74.2,75.2,8,8.86565,1,2,91.99607083,1,91.99607083,split,18.3603,9.07205,-9.411149409,-9.357466309,92.04975393,8,8,Oct/20,s
5507,2,84,86.4,8,16.532,1,2,6.431983692,2.4,2.679993205,turn,210.327,14.6708,17.21668524,NA,NA,8,8,>60,s
5508,2,133.2,135.4,8,5.32147,1,2,14.12321226,2.2,6.419641935,turn,23.7744,5.36145,-3.812474484,2.060927283,19.99661402,10,10,20-30,s
5509,2,332,333.4,8,4.10261,1,2,46.60932326,1.4,33.29237375,split,59.5052,4.67731,2.921436794,-0.247739785,43.44014668,9,9,50-60,s
5510,2,369.4,372.4,8,2.87814,0,2,2.370294301,3,0.7900981,turn,468.781,2.89923,-5.395044573,23.87126261,31.63660149,10,10,>60,s
5511,2,436.2,436.8,8,2.93416,0,2,28.21678761,0.6,47.02797934,split,55.4856,4.16224,-11.25842118,2.172641206,41.64784999,10,10,50-60,s
5512,2,460.4,461.2,9,4.04178,0,2,-9.716988245,0.8,-12.14623531,turn,99.5919,4.24349,-1.004597682,12.0642489,3.351858341,9,9,>60,s
5513,2,49.4,53.4,0,3.20193,1,2,1.701390223,4,0.425347556,split,41.1842,3.776,4.537069012,33.88907155,31.05339276,10,10,40-50,s
5514,2,97.4,98.4,0,2.54447,1,2,-21.05172895,1,-21.05172895,split,64.0686,2.1239,-0.514534521,NA,NA,10,10,>60,s
5515,2,169.8,173.4,0,2.52411,1,2,74.19035029,3.6,20.60843064,split,25.9259,2.29542,-4.5564387,17.61292164,96.35971063,10,10,20-30,s
5516,2,225,226.4,0,1.50934,1,2,26.29657055,1.4,18.78326468,turn,33.444,2.11752,2.849323984,19.41459729,42.86184386,10,10,30-40,s
5517,2,249.8,251.2,0,3.92552,1,2,64.27718344,1.4,45.91227388,split,428.359,5.47627,-0.988619322,NA,NA,10,10,>60,s
