"","X","thresh","start_time","end_time","id","centr","conflict","state","turn","dur","ang_vel","outcome","dist2pred","dist2fc","diff_flock_start","diff_flock_end","fl_turn","mainFlock_size","subFlock_size","dist_group","fl_size"
"5461",12697,2,287.2,287.8,14,8.06471,1,2,-1.96176667220667,0.600000000000023,-3.26961112034433,"turn",44.7776,10.7745,-1.38151573232181,-8.34544134294759,-8.92569228283245,12,12,"40-50","b"
"5462",12698,2,326.4,326.8,14,6.74554,0,2,-1.54771796123757,0.400000000000034,-3.86929490309361,"turn",106.993,7.14423,-2.35547242185316,4.14612824010358,4.95388270071916,14,14,">60","b"
"5463",12699,2,167.2,167.8,15,4.30911,0,2,15.3713075837921,0.600000000000023,25.6188459729859,"turn",46.3888,3.51591,3.16892410865933,-21.9805721119485,-9.77818863681575,25,25,"40-50","b"
"5464",12701,2,405.6,409.6,15,2.83759,0,2,10.4965666860603,4,2.62414167151507,"turn",32.0284,6.68802,-22.2746767130738,45.8005322203016,78.5717756194357,23,23,"30-40","b"
"5465",12703,2,46.6,47,16,3.49244,0,2,-1.36334812251544,0.399999999999999,-3.40837030628862,"turn",75.5906,7.98619,-1.01183768864771,0.370671280581513,0.0191608467137742,25,25,">60","b"
"5466",12706,2,229,230.2,16,7.03037,0,2,4.10141640352828,1.19999999999999,3.41784700294027,"turn",78.1877,7.84305,0.646791294924388,-11.6857215990552,-8.23109649045131,24,24,">60","b"
"5467",12707,2,312,312.8,16,0.658302,0,2,1.41516469248127,0.800000000000011,1.76895586560156,"turn",34.0568,7.70349,-11.0170963336626,-87.3040505965937,-74.8717895704498,22,22,"30-40","b"
"5468",12708,2,316.8,320.2,16,9.40575,0,2,40.214283378974,3.39999999999998,11.8277304055807,"turn",6.8889,4.77541,-5.22108905058308,11.4985564018086,56.9339288313656,20,20,"<10","b"
"5469",12710,2,405.4,406.8,16,14.4033,1,2,31.9687773866599,1.40000000000003,22.8348409904708,"turn",23.682,9.82379,5.62301975200925,17.635705494135,43.9814631287857,23,23,"20-30","b"
"5470",12711,2,120.4,122.6,17,21.0981,0,2,-16.6496437918448,2.19999999999999,-7.56801990538406,"turn",51.3943,19.7268,-6.2306934717125,3.06732176230965,-7.35162855782269,19,19,"50-60","b"
"5471",12712,2,165.6,167.4,17,7.8825,1,2,-0.289194054934655,1.80000000000001,-0.160663363852585,"turn",41.3312,7.60415,-13.3155576938182,-15.7028864930402,-2.67652285415671,24,24,"40-50","b"
"5472",12715,2,39.4,40.2,18,9.11644,0,2,-3.24504989120885,0.800000000000004,-4.05631236401104,"turn",57.2192,10.4716,3.87767421376487,10.3960990047415,3.27337489976781,26,26,"50-60","b"
"5473",12716,2,84.2,85.2,18,20.4558,1,2,-3.27599946939812,1,-3.27599946939812,"turn",177.779,20.4292,7.34087813979804,4.30125719476063,-6.31562041443552,26,26,">60","b"
"5474",12717,2,168.2,170.8,18,25.6166,1,2,-1.06643964038753,2.60000000000002,-0.41016909245674,"turn",57.6827,22.5548,16.5061852331364,-29.6154860829059,-47.1881109564299,25,25,"50-60","b"
"5475",12719,2,170.6,173.4,19,19.353,1,2,-0.31087713344011,2.80000000000001,-0.111027547657182,"turn",53.486,20.2718,-1.35151061937172,-13.5334543575319,-12.4928208716003,25,25,"50-60","b"
"5476",12721,2,375.8,377.8,19,2.44508,1,2,38.0406980276146,2,19.0203490138073,"turn",51.5464,5.51913,5.84176033614133,-20.0412303053139,12.1577073861594,24,24,"50-60","b"
"5477",12722,2,469.8,471,19,2.52362,1,2,-2.87895992714741,1.19999999999999,-2.39913327262286,"turn",47.9641,3.0813,15.642645065521,-15.3713665711129,-33.8929715637813,21,21,"40-50","b"
"5478",12725,2,11.4,12.8,21,2.59996,1,2,-9.14612323125388,1.4,-6.53294516518134,"turn",38.8932,2.48092,3.21116804593236,7.99654000870482,-4.36075126848142,27,27,"30-40","b"
"5479",12727,2,95.8,96.2,21,9.12923,0,2,-13.8597895530778,0.400000000000006,-34.6494738826939,"turn",163.206,1.97252,0.069525112988555,9.17440040052107,-4.75491426554525,26,26,">60","b"
"5480",12734,2,26.4,27,23,1.64277,0,2,0.723243409478067,0.600000000000001,1.20540568246344,"turn",60.3466,3.84737,-5.53519761156418,-6.10880672996505,0.149634291077201,27,27,">60","b"
"5481",12735,2,43.2,47.2,24,2.57193,0,2,-1.62345882420317,4,-0.405864706050793,"turn",62.8752,1.4613,3.08267773135854,-4.59933294406061,-9.30546949962232,26,26,">60","b"
"5482",12739,2,313.2,315.2,24,3.79303,1,2,16.4475661625011,2,8.22378308125057,"turn",27.0878,3.62846,1.52107362192209,41.3809691549674,56.3074616955464,21,21,"20-30","b"
"5483",12740,2,49.6,51,25,5.01263,0,2,7.24616487412458,1.4,5.17583205294614,"turn",41.3341,9.81681,-3.81664425894606,30.9635860193414,42.026395152412,25,25,"40-50","b"
"5484",12742,2,247.2,249.6,25,11.3067,0,2,0.396384193367153,2.40000000000001,0.165160080569647,"turn",563.171,17.4938,-11.0856869545101,-0.855324872244904,10.6267462756323,24,24,">60","b"
"5485",12743,2,269.2,270.2,25,3.48033,0,2,-8.51233147101883,1,-8.51233147101883,"turn",55.9988,11.5719,14.7043609853912,16.3039366183918,-6.91275583801826,25,25,"50-60","b"
"5486",12745,2,132.2,133.8,26,22.9723,1,2,37.150060278219,1.60000000000002,23.2187876738865,"turn",29.2036,32.4157,7.57385143625191,-8.12660385656484,21.4496049854022,26,26,"20-30","b"
"5487",12747,2,367.6,369.8,26,6.0898,0,2,2.30701043670466,2.19999999999999,1.04864110759303,"turn",590.82,11.3738,-4.49120016033546,-5.7890018032883,1.00920879375182,24,24,">60","b"
"5488",12749,2,23.6,27.6,0,8.66327,0,2,19.0994060659397,4,4.77485151648493,"turn",58.8025,12.1779,-17.0384807869275,29.4128061863201,65.5506930391874,24,24,"50-60","b"
"5489",12750,2,131,132,0,13.0267,1,2,-25.2913910135093,1,-25.2913910135093,"turn",41.6006,17.3122,-6.16637616622934,-1.44906559240787,-20.5740804396878,23,23,"40-50","b"
"5490",12752,2,5.2,5.6,2,7.86091,0,2,-1.53199121894611,0.399999999999999,-3.82997804736528,"turn",216.5,4.72139,4.20910658875958,11.2464381221981,5.50534031449236,27,27,">60","b"
"5491",12754,2,54.4,55.2,2,30.8611,0,2,-2.78259134159478,0.800000000000004,-3.47823917699345,"turn",173.823,39.974,-5.14972491460591,0.664880747733402,3.03201432074453,23,23,">60","b"
