X,ang_vel,split_val,condition
1,7.524661693,FALSE,p
2,6.85968425,FALSE,p
3,1.963672609,FALSE,p
4,1.335761415,FALSE,p
5,1.854282737,FALSE,p
6,19.92217639,FALSE,p
7,4.839729475,FALSE,p
8,6.414103169,FALSE,p
9,8.214402559,FALSE,p
10,46.39144725,FALSE,p
11,2.48103976,FALSE,p
12,0.520764948,FALSE,p
13,2.140823156,FALSE,p
14,1.370701354,FALSE,p
15,4.240450784,FALSE,p
16,6.296336438,FALSE,p
17,4.182191474,FALSE,p
18,0.002011946,FALSE,p
19,1.420070585,FALSE,p
20,1.893234404,FALSE,p
21,3.584888852,FALSE,p
22,57.04405961,FALSE,p
23,6.388085295,FALSE,p
24,8.327796017,FALSE,p
25,1.074865357,FALSE,p
26,14.66775692,FALSE,p
27,0.332842519,FALSE,p
28,4.925382035,FALSE,p
29,8.165971447,FALSE,p
30,5.590976769,FALSE,p
31,5.207854177,FALSE,p
32,1.789280705,FALSE,p
33,3.707937912,FALSE,p
34,0.003436004,FALSE,p
35,6.3325043,FALSE,p
36,1.423447251,FALSE,p
37,0.187619905,FALSE,p
38,0.365943966,FALSE,p
39,0.003043574,FALSE,p
40,36.8240551,FALSE,p
41,4.214911087,FALSE,p
42,2.794466865,FALSE,p
43,6.458110261,FALSE,p
44,7.278802125,FALSE,p
45,4.775327734,FALSE,p
46,3.408140208,FALSE,p
47,5.018085161,FALSE,p
48,0.229885469,FALSE,p
49,6.295830628,FALSE,p
50,3.258481532,FALSE,p
51,4.461480606,FALSE,p
52,0.810314169,FALSE,p
53,1.616723957,FALSE,p
54,4.011220178,FALSE,p
55,2.649538476,FALSE,p
56,61.89550854,FALSE,p
57,2.315987203,FALSE,p
58,0.510136886,FALSE,p
59,0.135567211,FALSE,p
60,1.792908571,FALSE,p
61,8.154480744,FALSE,p
62,3.132338218,FALSE,p
63,2.270193471,FALSE,p
64,7.283840831,FALSE,p
65,5.953730101,FALSE,p
66,0.683495547,FALSE,p
67,2.173574937,FALSE,p
68,4.399638283,FALSE,p
69,5.882860253,FALSE,p
70,2.089424452,FALSE,p
71,0.302419554,FALSE,p
72,0.460133277,FALSE,p
73,1.48955324,FALSE,p
74,8.307552339,FALSE,p
75,6.239152681,FALSE,p
76,0.126764936,FALSE,p
77,0.000748418,FALSE,p
78,9.891818618,FALSE,p
79,11.19414718,FALSE,p
80,1.134070223,FALSE,p
81,0.248897957,FALSE,p
82,0.861546604,FALSE,p
83,0.884222838,FALSE,p
84,0.231569439,FALSE,p
85,3.649937997,FALSE,p
86,2.579964966,FALSE,p
87,3.809898619,FALSE,p
88,1.33653875,FALSE,p
89,0.773520755,FALSE,p
90,0.283177721,FALSE,p
92,3.403925327,FALSE,p
93,2.795838919,FALSE,p
94,4.665463496,FALSE,p
95,0.003677309,FALSE,p
96,1.764912133,FALSE,p
97,7.301567034,FALSE,p
98,7.139492786,FALSE,p
99,8.774367699,FALSE,p
100,3.6903764,FALSE,p
101,5.118445845,FALSE,p
102,2.060705095,FALSE,p
103,0.117070455,FALSE,p
104,0,FALSE,p
105,2.125266927,FALSE,p
106,5.659136682,FALSE,p
107,0.203304547,FALSE,p
108,0.83648164,FALSE,p
109,4.132582883,FALSE,p
110,1.627672739,FALSE,p
111,0.003255293,FALSE,p
112,34.72393349,FALSE,p
113,2.344930857,FALSE,p
114,0.576266643,FALSE,p
115,0.937280538,FALSE,p
116,1.426471848,FALSE,p
117,1.779474462,FALSE,p
118,10.01442511,FALSE,p
119,7.47270395,FALSE,p
120,0.022465223,FALSE,p
121,1.366134981,FALSE,p
122,0.348533488,FALSE,p
123,0.706815822,FALSE,p
124,2.177960288,FALSE,p
125,0.76298991,FALSE,p
126,0.803438861,FALSE,p
127,1.561280428,FALSE,p
128,68.53434275,FALSE,p
129,3.392736475,FALSE,p
130,18.5939175,FALSE,p
131,3.666878235,FALSE,p
132,9.461298203,FALSE,p
133,0.756571176,FALSE,p
134,11.22363129,FALSE,p
135,8.205744539,FALSE,p
136,9.245328945,FALSE,p
137,5.24134292,FALSE,p
138,8.280814638,FALSE,p
139,2.046386679,FALSE,p
140,4.449776015,FALSE,p
141,0.706583415,FALSE,p
142,3.603941185,FALSE,p
143,2.467578212,FALSE,p
144,0.822180764,FALSE,p
145,0.87880306,FALSE,p
147,20.43356435,FALSE,p
148,5.850147011,FALSE,p
149,4.497572704,FALSE,p
150,1.735257995,FALSE,p
151,2.804845277,FALSE,p
152,0.005654916,FALSE,p
153,4.371364637,FALSE,p
154,0.626039465,FALSE,p
155,0.105846553,FALSE,p
156,1.647409976,FALSE,p
157,1.486234932,FALSE,p
158,11.42890725,FALSE,p
159,4.427712632,FALSE,p
160,2.461865376,FALSE,p
161,1.853334648,FALSE,p
162,0.787508811,FALSE,p
163,1.45734657,FALSE,p
164,3.630062271,FALSE,p
165,1.624976533,FALSE,p
166,0.749774122,FALSE,p
167,0.699229116,FALSE,p
168,1.039113484,FALSE,p
169,0.720453895,FALSE,p
170,6.552230503,FALSE,p
171,4.690753934,FALSE,p
172,32.839725,FALSE,p
173,1.454007502,FALSE,p
174,2.668325882,FALSE,p
175,0.14171558,FALSE,p
176,1.753822854,FALSE,p
177,0.004787394,FALSE,p
178,4.617655634,FALSE,p
179,4.817715763,FALSE,p
180,0.102324902,FALSE,p
181,0.005645497,FALSE,p
182,0.673985583,FALSE,p
183,0.669958756,FALSE,p
184,1.420549455,FALSE,p
185,0.313444688,FALSE,p
186,1.369570839,FALSE,p
187,1.733943388,FALSE,p
188,0.964914371,FALSE,p
189,10.80316634,FALSE,p
190,1.378393083,FALSE,p
191,0.78355889,FALSE,p
192,0.290608329,FALSE,p
193,4.683057825,FALSE,p
194,1.283978116,FALSE,p
195,14.45801428,FALSE,p
196,1.093652225,FALSE,p
197,2.485764029,FALSE,p
198,0.351891738,FALSE,p
199,0.326688144,FALSE,p
200,9.484858361,FALSE,p
201,6.713038151,FALSE,p
202,1.46860569,FALSE,p
203,10.10091785,FALSE,p
204,7.081835671,FALSE,p
205,4.42755003,FALSE,p
206,0.006338032,FALSE,p
207,6.493786789,FALSE,p
208,2.71906941,FALSE,p
209,2.734290642,FALSE,p
210,0.279619724,FALSE,p
211,3.22425402,FALSE,p
212,3.561813436,FALSE,p
213,5.351211263,FALSE,p
214,1.528240637,FALSE,p
215,7.104813431,FALSE,p
216,60.75098393,FALSE,p
217,18.18159064,FALSE,p
218,3.777028748,FALSE,p
219,0.363361786,FALSE,p
220,0.902139239,FALSE,p
221,0.004923138,FALSE,p
222,2.566810859,FALSE,p
223,0.763414393,FALSE,p
224,3.763583527,FALSE,p
225,10.96790378,FALSE,p
226,0.798172625,FALSE,p
227,2.045208224,FALSE,p
228,5.484863407,FALSE,p
229,2.043138531,FALSE,p
230,2.349985816,FALSE,p
231,11.67648776,FALSE,p
232,4.56661144,FALSE,p
233,0.747277362,FALSE,p
234,4.154743992,FALSE,p
235,0.005119195,FALSE,p
236,0.877127144,FALSE,p
237,0.005348617,FALSE,p
238,7.141411257,FALSE,p
239,6.150467326,FALSE,p
240,0.261631455,FALSE,p
241,8.272741561,FALSE,p
242,3.122581371,FALSE,p
243,0.006635772,FALSE,p
244,4.300944912,FALSE,p
245,1.815477066,FALSE,p
246,3.456860149,FALSE,p
247,13.56361795,FALSE,p
248,0.262042988,FALSE,p
249,6.445447028,FALSE,p
250,0.005396165,FALSE,p
251,5.020086686,FALSE,p
252,17.66084874,FALSE,p
253,43.56974491,FALSE,p
254,1.34630951,FALSE,p
255,2.192779469,FALSE,p
256,0.00487983,FALSE,p
257,6.623727688,FALSE,p
258,0.393117363,FALSE,p
259,1.582475532,FALSE,p
260,9.758762107,FALSE,p
261,3.348951368,FALSE,p
262,8.773684098,FALSE,p
263,8.867562346,FALSE,p
264,0.712199386,FALSE,p
265,0.322870377,FALSE,p
266,0.005987035,FALSE,p
267,5.570941749,FALSE,p
