"","time","lon","lat","speed","focal_head","flock_lat","flock_lon","ang_vel","turnornot","avt"
"8",1.4,-0.598272,51.37308,3.96253321967304,3.03034899450433,51.37306675,-0.59832275,42.5857810531555,"1","1"
"9",1.6,-0.59827,51.373072,4.47546032591256,-3.09198590404539,51.373058875,-0.5983355,42.5857810531555,"1","1"
"10",1.8,-0.598271,51.373063,5.00993462080165,-2.96472570900836,51.373050375,-0.59835175,42.5857810531555,"1","1"
"11",2,-0.598275,51.373053,5.64785233604025,-2.86454841758097,51.373043,-0.598371375,42.5857810531555,"1","1"
"12",2.2,-0.598282,51.373042,6.35816453533606,-2.66553765142904,51.373036,-0.598393625,42.5857810531555,"1","1"
"13",2.4,-0.598297,51.373029,8.13182501372355,-2.57721357481838,51.37303025,-0.598418625,42.5857810531555,"1","1"
"14",2.6,-0.598314,51.373017,7.89619901041094,-2.47789657105291,51.37302575,-0.598445625,42.5857810531555,"1","1"
"15",2.8,-0.598335,51.373005,8.46955843902855,-2.2899727214715,51.373024375,-0.59847425,42.5857810531555,"1","1"
"16",3,-0.598358,51.372996,7.59559320024332,-2.1130064387094,51.373026,-0.598503,42.5857810531555,"1","1"
"17",3.2,-0.598384,51.372989,7.54170211455994,-2.00436513714655,51.373031,-0.5985315,42.5857810531555,"1","1"
"18",3.4,-0.598413,51.372983,7.94015357694457,-1.79092020761757,51.3730471428571,-0.598579428571429,42.5857810531555,"1","1"
"19",3.6,-0.598443,51.37298,7.63828684217697,-1.63848480897283,51.3730611428571,-0.598603857142857,42.5857810531555,"1","1"
"20",3.8,-0.598476,51.372979,8.21821194395809,-1.57078111888893,51.3730775714286,-0.598624428571429,42.5857810531555,"1","1"
"21",4,-0.59851,51.372979,8.44785874916987,-1.50870378013377,51.3730962857143,-0.598639428571429,42.5857810531555,"1","1"
"22",4.2,-0.598546,51.37298,8.96204467189354,-1.45041131636083,51.3731167142857,-0.598648142857143,42.5857810531555,"1","1"
"23",4.4,-0.598583,51.372982,9.26022397365234,-1.07232694936109,51.37311875,-0.59864325,42.5857810531555,"1","1"
"24",4.6,-0.59862,51.372991,10.4666702972955,-0.957858014294574,51.373139,-0.598644875,42.5857810531555,"1","1"
"25",4.8,-0.598655,51.373002,10.6312189445235,-0.776874511719442,51.373159,-0.598641125,42.5857810531555,"1","1"
"26",5,-0.598688,51.373017,11.6949167874081,-0.640130383035216,51.373178375,-0.598631,42.5857810531555,"1","1"
"27",5.2,-0.598718,51.373035,12.4780800751563,-0.488873150712232,51.373196875,-0.598615875,42.5857810531555,"1","1"
"28",5.4,-0.598743,51.373056,13.2246359137905,-0.35048122061355,51.373212875,-0.598593875,42.5857810531555,"1","1"
"29",5.6,-0.598761,51.373078,13.0231889144837,-0.219787157036015,51.3732468571429,-0.598538571428571,42.5857810531555,"1","1"
"30",5.8,-0.598773,51.373102,13.6723099860493,-0.0713618165446097,51.373256,-0.598500428571429,42.5857810531555,"1","1"
"31",6,-0.598777,51.373127,13.9348341831425,0.08254273278744,51.3732614285714,-0.598458285714286,42.5857810531555,"1","1"
"32",6.2,-0.598772,51.373154,15.0626017815925,0.211228461895843,51.373263,-0.598413857142857,42.5857810531555,"1","1"
"33",6.4,-0.59876,51.373179,14.2153304601413,0.327282996340577,51.3732605714286,-0.598368,42.5857810531555,"1","1"
"34",6.6,-0.598741,51.373204,14.6785542128802,0.420087547763108,51.3732538571429,-0.598321714285714,42.5857810531555,"1","1"
"35",6.8,-0.598717,51.373228,14.6141042229417,0.48569241216468,51.3732432857143,-0.598276142857143,42.5857810531555,"1","1"
"36",7,-0.598691,51.37325,13.8310514532728,0.590277178580322,51.3732282857143,-0.598232142857143,42.5857810531555,"1","1"
"37",7.2,-0.598661,51.37327,13.3844176593843,0.674261604627452,51.3732092857143,-0.598190428571429,42.5857810531555,"1","1"
"38",7.4,-0.598627,51.373289,13.5228840509461,0.771209435038018,51.373188,-0.598151142857143,42.5857810531555,"1","1"
"40",7.6,-0.59859,51.373306,13.1810623389931,0.702263147417458,51.3731644285714,-0.598113714285714,-40.9341132810756,"1","-1"
"41",7.8,-0.598554,51.373325,13.8379713568767,0.688387761227963,51.373139,-0.598079142857143,-40.9341132810756,"1","-1"
"42",8,-0.598519,51.373344,13.678683407676,0.590187831777923,51.3731118571429,-0.598045857142857,-40.9341132810756,"1","-1"
"43",8.2,-0.598486,51.373366,14.7219914605041,0.537011526899002,51.3730835714286,-0.598013714285714,-40.9341132810756,"1","-1"
"44",8.4,-0.598454,51.37339,15.5294030411676,0.55588485379661,51.3730544285714,-0.597982571428571,-40.9341132810756,"1","-1"
"45",8.6,-0.598422,51.373413,15.0541804351135,0.527361660165014,51.3730257142857,-0.597949714285714,-40.9341132810756,"1","-1"
"46",8.8,-0.598392,51.373436,14.7980055984917,0.419913662062097,51.3729981428571,-0.597913428571429,-40.9341132810756,"1","-1"
"47",9,-0.598367,51.373461,15.2218461868313,0.343037318359349,51.372973,-0.597872714285714,-40.9341132810756,"1","-1"
"48",9.2,-0.598347,51.373486,14.7593268293498,0.346063005777917,51.3729522857143,-0.597827142857143,-40.9341132810756,"1","-1"
"49",9.4,-0.598326,51.373512,15.3663788105435,0.3884139833209,51.3729374285714,-0.597777428571429,-40.9341132810756,"1","-1"
"50",9.6,-0.598304,51.373536,14.4173831024285,0.419839871061683,51.3729291428571,-0.597725142857143,-40.9341132810756,"1","-1"
"51",9.8,-0.59828,51.37356,14.6124880328676,0.435222418680408,51.3729271428571,-0.597671428571429,-40.9341132810756,"1","-1"
